Webdomains,httpwebdomain,httpswebdomain,wikidata_keywords,occurence,guessed-domain,keywords_with_match
chemistry.or.jp,<http://www.chemistry.or.jp/>,<https://www.chemistry.or.jp/>,"['society', 'japan', 'publisher', 'organization', 'publishing', 'house', 'company', 'organisation', 'institution', 'org', 'organisations', 'organizations', 'orgs', 'societies', 'japans', 'publishers', 'organizations', 'publishings', 'houses', 'companies', 'organisations', 'institutions', 'orgs', 'organisation', 'organization', 'org']",2.0,Information,"['house', 'publishing', 'publishers', 'houses']"
sportacadem.ru,<http://www.sportacadem.ru/>,<https://www.sportacadem.ru/>,"['state', 'institution', 'education', 'region', 'university', 'culture', 'sport', 'tourism', 'school', 'institute', 'organization', 'kazan', 'russia', 'states', 'institutions', 'educations', 'regions', 'universities', 'cultures', 'sports', 'tourisms', 'schools', 'institutes', 'organizations', 'kazans', 'russias']",2.0,Educational Services,"['school', 'sports', 'universities', 'schools']"
yves-rocher.com,<http://www.yves-rocher.com/>,<https://www.yves-rocher.com/>,"['yves', 'cosmetics', 'industry', 'beauty', 'culture', 'company', 'yve', 'cosmetic', 'industries', 'beauties', 'cultures', 'companies']",2.0,Retail Trade,"['cosmetics', 'beauty', 'cosmetics']"
agefi.fr,<http://www.agefi.fr/>,<https://www.agefi.fr/>,"['media', 'company', 'newspaper', 'enterprise', 'group', 'house', 'institution', 'studio', 'news', 'paper', 'papers', 'newspapers', 'medias', 'companies', 'newspapers', 'enterprises', 'groups', 'houses', 'institutions', 'studios', 'news', 'papers', 'paper', 'newspaper']",5.0,Information,"['paper', 'paper', 'newspaper', 'paper', 'paper', 'newspaper', 'groups', 'house', 'media', 'newspaper', 'news', 'studios', 'news', 'newspaper', 'houses']"
vizrt.com,<http://www.vizrt.com/>,<https://www.vizrt.com/>,"['vizrt', 'broadcasting', 'media', 'software', 'company', 'vizrts', 'broadcastings', 'medias', 'softwares', 'companies']",2.0,Information,"['broadcasting', 'software', 'software', 'media', 'broadcasting', 'software']"
varmatin.com,<http://www.varmatin.com/>,<https://www.varmatin.com/>,"['newspaper', 'news', 'paper', 'papers', 'newspapers', 'newspapers', 'news', 'papers', 'paper', 'newspaper']",4.0,Information,"['paper', 'paper', 'newspaper', 'paper', 'paper', 'newspaper', 'newspaper', 'news', 'news', 'newspaper']"
atmajaya.ac.id,<http://www.atmajaya.ac.id/>,<https://www.atmajaya.ac.id/>,"['atma', 'jaya', 'university', 'indonesia', 'roman', 'education', 'universities', 'atmas', 'jayas', 'universities', 'indonesias', 'romen', 'educations', 'university']",2.0,Educational Services,"['universities', 'universities']"
ncbs.res.in,<http://www.ncbs.res.in/>,<https://www.ncbs.res.in/>,"['centre', 'sciences', 'research', 'institute', 'institution', 'organization', 'company', 'environment', 'center', 'bangalore', 'india', 'centres', 'science', 'researches', 'institutes', 'institutions', 'organizations', 'companies', 'environments', 'centers', 'bangalores', 'indias']",2.0,"Professional, Scientific & Technical Services","['centres', 'centres', 'centres', 'centres', 'sciences', 'research', 'centres']"
cdrewu.edu,<http://www.cdrewu.edu/>,<https://www.cdrewu.edu/>,"['charles', 'university', 'medicine', 'science', 'institution', 'colleges', 'universities', 'school', 'hbcu', 'hbuc', 'california', 'charle', 'universities', 'medicines', 'sciences', 'institutions', 'college', 'university', 'schools', 'hbcus', 'hbucs', 'californias']",4.0,Educational Services,"['school', 'sciences', 'colleges', 'universities', 'universities', 'schools']"
breakpoint.org,<http://www.breakpoint.org/>,<https://www.breakpoint.org/>,"['breakpoint', 'publisher', 'website', 'publishing', 'house', 'company', 'site', 'world', 'web', 'articles', 'colson', 'center', 'worldview', 'breakpoints', 'publishers', 'websites', 'publishings', 'houses', 'companies', 'sites', 'worlds', 'webs', 'article', 'colsons', 'centers', 'worldviews']",2.0,Information,"['sites', 'house', 'site', 'publishing', 'publishers', 'houses']"
dedoelen.nl,<http://www.dedoelen.nl/>,<https://www.dedoelen.nl/>,"['concert', 'hall', 'theater', 'house', 'symphony', 'theatre', 'playhouse', 'building', 'architecture', 'rotterdam', 'netherlands', 'concerts', 'halls', 'theaters', 'houses', 'symphonies', 'theatres', 'playhouses', 'buildings', 'architectures', 'rotterdams', 'netherland']",2.0,"Arts, Entertainment & Recreation","['theater', 'theaters', 'house', 'houses']"
ustfccca.org,<http://www.ustfccca.org/>,<https://www.ustfccca.org/>,"['track', 'field', 'country', 'coaches', 'association', 'organization', 'society', 'network', 'tracks', 'fields', 'countries', 'coach', 'associations', 'organizations', 'societies', 'networks']",2.0,"Arts, Entertainment & Recreation","['field', 'country', 'tracks']"
beverlycenter.com,<http://www.beverlycenter.com/>,<https://www.beverlycenter.com/>,"['center', 'shopping', 'mall', 'centre', 'trade', 'angeles', 'california', 'states', 'centers', 'shoppings', 'malls', 'centres', 'trades', 'angele', 'californias', 'state']",2.0,Retail Trade,"['shopping', 'centres', 'centres', 'centres', 'centres', 'centres']"
tintakiado.hu,<http://www.tintakiado.hu/>,<https://www.tintakiado.hu/>,"['tinta', 'publishing', 'publisher', 'house', 'company', 'kiskőrös', 'tintas', 'publishings', 'publishers', 'houses', 'companies', 'kiskőrö']",2.0,Information,"['house', 'publishing', 'publishers', 'houses']"
kyorin-u.ac.jp,<http://www.kyorin-u.ac.jp/>,<https://www.kyorin-u.ac.jp/>,"['kyorin', 'university', 'universities', 'japan', 'kyorins', 'universities', 'university', 'japans']",2.0,Educational Services,"['universities', 'universities']"
alcorn.edu,<http://www.alcorn.edu/>,<https://www.alcorn.edu/>,"['state', 'university', 'institution', 'states', 'colleges', 'universities', 'place', 'hbcu', 'hbuc', 'land', 'grant', 'college', 'cdp', 'lorman', 'mississippi', 'claiborne', 'county', 'states', 'universities', 'institutions', 'state', 'college', 'university', 'places', 'hbcus', 'hbucs', 'lands', 'grants', 'colleges', 'cdps', 'lormen', 'mississippis', 'claibornes', 'counties']",4.0,Educational Services,"['land', 'land', 'places', 'colleges', 'universities', 'universities', 'colleges']"
sisain.co.kr,<http://www.sisain.co.kr/>,<https://www.sisain.co.kr/>,"['sisa', 'news', 'media', 'press', 'business', 'industry', 'agencies', 'bureaus', 'outlets', 'journalism', 'publishing', 'sisas', 'news', 'medias', 'presses', 'businesses', 'industries', 'agency', 'bureauses', 'outlet', 'journalisms', 'publishings']",3.0,Information,"['bureaus', 'media', 'news', 'publishing', 'news']"
vivoenergy.com,<http://www.vivoenergy.com/>,<https://www.vivoenergy.com/>,"['vivo', 'energy', 'petroleum', 'industry', 'crude', 'gas', 'production', 'oil', 'dutch', 'downstream', 'company', 'vivoes', 'energies', 'petroleums', 'industries', 'crudes', 'gases', 'productions', 'oils', 'dutches', 'downstreams', 'companies']",4.0,Manufacturing,"['petroleum', 'gas', 'production', 'oil', 'petroleum', 'gas', 'oil', 'petroleum', 'gas', 'oil', 'production', 'petroleum', 'crude', 'gas', 'oil', 'production', 'gas', 'oil', 'gas']"
9now.com.au,<http://www.9now.com.au/>,<https://www.9now.com.au/>,"['television', 'channel', 'software', 'website', 'channels', 'computer', 'tool', 'site', 'world', 'web', 'platform', 'televisions', 'channels', 'softwares', 'websites', 'channel', 'computers', 'tools', 'sites', 'worlds', 'webs', 'platforms']",3.0,Retail Trade,"['television', 'computer', 'tool', 'television', 'software', 'computer', 'software', 'computer', 'sites', 'site', 'computer', 'television', 'software', 'computer']"
wdel.com,<http://www.wdel.com/>,<https://www.wdel.com/>,"['wdel', 'radio', 'station', 'broadcasting', 'wilmington', 'delaware', 'states', 'wdels', 'radios', 'stations', 'broadcastings', 'wilmingtons', 'delawares', 'state']",2.0,Information,"['radio', 'broadcasting', 'radio', 'broadcasting']"
brezan.nl,<http://www.brezan.nl/>,<https://www.brezan.nl/>,"['brezan', 'retail', 'chain', 'stores', 'store', 'chainstore', 'dutch', 'car', 'part', 'shop', 'brezans', 'retails', 'chains', 'store', 'stores', 'chainstores', 'dutches', 'cars', 'parts', 'shops']",6.0,Retail Trade,"['parts', 'shops', 'stores', 'store', 'car', 'store', 'stores', 'parts', 'store', 'store', 'parts', 'car', 'car']"
motherhood.com,<http://www.motherhood.com/>,<https://www.motherhood.com/>,"['motherhood', 'maternity', 'industry', 'sales', 'trade', 'retailing', 'clothing', 'store', 'chain', 'motherhoods', 'maternities', 'industries', 'sale', 'trades', 'retailings', 'clothings', 'stores', 'chains']",3.0,Retail Trade,"['clothing', 'clothing', 'store', 'stores', 'clothing', 'store', 'sales']"
polypipe.com,<http://www.polypipe.com/>,<https://www.polypipe.com/>,"['polypipe', 'business', 'manufacturer', 'plastic', 'systems', 'polypipes', 'businesses', 'manufacturers', 'plastics', 'system']",2.0,Manufacturing,"['plastic', 'plastics']"
20sim.com,<http://www.20sim.com/>,<https://www.20sim.com/>,"['software', 'computer', 'tool', 'softwares', 'computers', 'tools']",2.0,Wholesale Trade,"['computer', 'tool', 'software', 'computer', 'software', 'computer', 'computer', 'software', 'computer']"
fcnp.com,<http://www.fcnp.com/>,<https://www.fcnp.com/>,"['falls', 'newspaper', 'news', 'paper', 'papers', 'newspapers', 'church', 'virginia', 'fall', 'newspapers', 'news', 'papers', 'paper', 'newspaper', 'churches', 'virginias']",4.0,Information,"['paper', 'paper', 'newspaper', 'paper', 'paper', 'newspaper', 'newspaper', 'news', 'news', 'newspaper']"
